0.058,0.633
0.006,0.187
0.594,0.306
0.696,0.018
0.959,0.074
0.255,0.046
0.745,0.457
0.848,0.368
0.984,0.074
0.393,0.009
0.922,0.829
0.719,0.471
0.408,0.948
0.364,0.916
0.493,0.188
0.644,0.413
0.696,0.024
0.120,0.261
0.418,0.294
0.030,0.151
0.083,0.362
0.752,0.726
0.814,0.341
0.437,0.648
0.634,0.931
0.207,0.979
0.759,0.810
0.233,0.494
0.795,0.970
0.928,0.860
0.153,0.450
0.872,0.382
0.711,0.033
0.610,0.161
0.600,0.753
0.477,0.804
0.017,0.356
0.491,0.732
0.542,0.674
0.703,0.326
0.148,0.708
0.647,0.745
0.393,0.532
0.223,0.751
0.114,0.440
0.884,0.154
0.098,0.774
0.752,0.351
0.094,0.502
0.923,0.771
0.792,0.286
0.750,0.130
0.083,0.848
0.828,0.863
0.242,0.701
0.032,0.076
0.110,0.818
0.003,0.399
0.914,0.468
0.880,0.138
0.995,0.727
0.489,0.607
0.262,0.290
0.072,0.983
0.616,0.986
0.625,0.133
0.510,0.191
0.459,0.016
0.399,0.478
0.855,0.456
0.730,0.594
0.226,0.247
0.172,0.201
0.903,0.481
0.021,0.560
0.021,0.848
0.956,0.380
0.113,0.120
0.688,0.262
0.104,0.280
0.740,0.727
0.647,0.433
0.802,0.835
0.481,0.481
0.114,0.478
0.933,0.961
0.431,0.377
0.604,0.919
0.139,0.652
0.860,0.798
0.304,0.516
0.717,0.469
0.197,0.896
0.559,0.050
0.044,0.119
0.019,0.947
0.072,0.870
0.549,0.181
0.152,0.113
0.571,0.063
0.729,0.493
0.462,0.430
0.131,0.890
0.658,0.369
0.332,0.944
0.830,0.133
0.172,0.710
0.934,0.845
0.476,0.162
0.116,0.324
0.854,0.742
0.054,0.960
0.824,0.439
0.819,0.778
0.665,0.474
0.850,0.598
0.256,0.718
0.130,0.475
0.132,0.524
0.257,0.303
0.717,0.291
0.403,0.680
0.575,0.940
0.960,0.721
0.723,0.846
0.562,0.084
0.274,0.498
0.337,0.323
0.750,0.547
0.729,0.111
0.247,0.435
0.036,0.626
0.345,0.268
0.813,0.396
0.937,0.877
0.381,0.796
0.334,0.380
0.171,0.649
0.150,0.458
0.825,0.302
0.541,0.881
0.301,0.755
0.378,0.890
0.392,0.590
0.285,0.344
0.223,0.733
0.794,0.016
0.566,0.356
0.988,0.282
0.991,0.204
0.430,0.483
0.926,0.946
0.712,0.227
0.467,0.019
0.509,0.853
0.756,0.679
0.382,0.871
0.801,0.134
0.412,0.109
0.651,0.340
0.537,0.800
0.660,0.804
0.639,0.665
0.361,0.966
0.285,0.930
0.880,0.235
0.894,0.526
0.170,0.462
0.903,0.157
0.882,0.262
0.007,0.791
0.830,0.625
0.497,0.827
0.734,0.274
0.063,0.062
0.499,0.780
0.741,0.082
0.995,0.249
0.811,0.454
0.624,0.665
0.816,0.185
0.762,0.966
0.780,0.021
0.777,0.027
0.413,0.131
0.580,0.376
0.601,0.354
0.262,0.266
0.816,0.731
0.832,0.686
0.299,0.782
0.799,0.144
0.710,0.629
0.176,0.260
0.993,0.154
0.737,0.105
0.023,0.648
0.705,0.917
0.587,0.037
0.042,0.255
0.867,0.599
0.358,0.951
0.186,0.636
0.474,0.391
0.523,0.003
0.518,0.397
0.699,0.939
0.951,0.491
0.836,0.190
0.418,0.869
0.018,0.488
0.548,0.232
0.201,0.332
0.816,0.844
0.296,0.230
0.217,0.545
0.299,0.543
0.559,0.285
0.296,0.468
0.633,0.808
0.841,0.738
0.852,0.952
0.723,0.478
0.040,0.579
0.216,0.564
0.864,0.663
0.761,0.731
0.607,0.438
0.995,0.679
0.132,0.698
0.523,0.018
0.713,0.445
0.795,0.348
0.951,0.424
0.684,0.256
0.186,0.718
0.295,0.703
0.546,0.156
0.339,0.266
0.513,0.913
0.085,0.095
0.476,0.961
0.854,0.560
0.948,0.052
0.531,0.179
0.893,0.393
0.237,0.116
0.757,0.986
0.022,0.910
0.745,0.707
0.798,0.612
0.173,0.865
0.556,0.273
0.932,0.789
0.214,0.309
0.628,0.572
0.954,0.349
0.636,0.614
0.820,0.861
0.150,0.553
0.643,0.844
0.303,0.602
0.791,0.650
0.575,0.261
0.818,0.163
0.700,0.458
0.350,0.762
0.435,0.953
0.371,0.349
0.723,0.679
0.921,0.212
0.713,0.131
0.049,0.072
0.071,0.610
0.303,0.839
0.322,0.361
0.030,0.041
0.484,0.845
0.629,0.886
0.465,0.242
0.380,0.451
0.182,0.676
0.522,0.465
0.854,0.796
0.238,0.452
0.355,0.189
0.514,0.485
0.325,0.759
0.991,0.162
0.902,0.173
0.538,0.494
0.269,0.082
0.800,0.479
0.448,0.745
0.888,0.762
0.936,0.939
0.890,0.558
0.560,0.820
0.748,0.177
0.620,0.071
0.119,0.101
0.681,0.917
0.167,0.755
0.584,0.471
0.932,0.765
0.864,0.727
0.332,0.591
0.504,0.053
0.688,0.364
0.614,0.849
0.719,0.154
